! Voltage (Volts),Current (Amps),|Current| (Amps),ln(|Current|) (Amps)
-2,-0.0002563069,0.0002563069,-8.2691350033804
-1.98,-0.0002533431,0.0002533431,-8.2807658614636
-1.96,-0.0002504706,0.0002504706,-8.2921690095967
-1.94,-0.0002474627,0.0002474627,-8.3042506943837
-1.92,-0.0002443503,0.0002443503,-8.3169077065018
-1.9,-0.0002411935,0.0002411935,-8.3299110420647
-1.88,-0.0002379764,0.0002379764,-8.3433390488733
-1.86,-0.0002347435,0.0002347435,-8.3570171292901
-1.84,-0.0002314484,0.0002314484,-8.371153603451
-1.82,-0.0002281444,0.0002281444,-8.3855317961474
-1.8,-0.0002248122,0.0002248122,-8.4002451709547
-1.78,-0.0002214576,0.0002214576,-8.4152794089245
-1.76,-0.0002181108,0.0002181108,-8.4305073674132
-1.74,-0.0002147175,0.0002147175,-8.4461873473188
-1.72,-0.0002113209,0.0002113209,-8.4621327267334
-1.7,-0.0002078983,0.0002078983,-8.4784615401419
-1.68,-0.0002044793,0.0002044793,-8.4950438100986
-1.66,-0.000201024,0.000201024,-8.5120862540481
-1.64,-0.0001975427,0.0001975427,-8.5295557944599
-1.62,-0.0001940611,0.0001940611,-8.5473375000332
-1.6,-0.0001905452,0.0001905452,-8.5656211212005
-1.58,-0.0001870212,0.0001870212,-8.5842885785515
-1.56,-0.000183501,0.000183501,-8.6032904408932
-1.54,-0.0001799483,0.0001799483,-8.6228409705525
-1.52,-0.0001762748,0.0001762748,-8.6434664169507
-1.5,-0.0001728283,0.0001728283,-8.6632119418555
-1.48,-0.0001692661,0.0001692661,-8.6840385251421
-1.46,-0.0001656868,0.0001656868,-8.7054112987448
-1.44,-0.0001619944,0.0001619944,-8.7279487912306
-1.42,-0.0001584786,0.0001584786,-8.7498909895353
-1.4,-0.0001548896,0.0001548896,-8.7727979528858
-1.38,-0.0001512668,0.0001512668,-8.7964653928415
-1.36,-0.0001475784,0.0001475784,-8.8211509979703
-1.34,-0.0001440193,0.0001440193,-8.8455632395914
-1.32,-0.0001403921,0.0001403921,-8.8710713357619
-1.3,-0.0001367724,0.0001367724,-8.8971923275169
-1.28,-0.0001331101,0.0001331101,-8.9243339526473
-1.26,-0.000129555,0.000129555,-8.9514050565639
-1.24,-0.0001259723,0.0001259723,-8.9794485164513
-1.22,-0.0001223941,0.0001223941,-9.0082643916622
-1.2,-0.0001187945,0.0001187945,-9.0381154484037
-1.18,-0.0001152824,0.0001152824,-9.0681257876139
-1.16,-0.0001117803,0.0001117803,-9.0989752202831
-1.14,-0.0001083136,0.0001083136,-9.1304798347408
-1.12,-0.0001048491,0.0001048491,-9.1629883843442
-1.1,-0.0001014676,0.0001014676,-9.195771022264
-1.08,-0.00009812951,9.812951E-5,-9.2292224211345
-1.06,-0.00009472663,9.472663E-5,-9.2645153935011
-1.04,-0.00009137769,9.137769E-5,-9.3005092012032
-1.02,-0.00008805296,8.805296E-5,-9.3375721063242
-1,-0.00008474735,8.474735E-5,-9.3758360806292
-0.98,-0.00008146151,8.146151E-5,-9.4153799192107
-0.96,-0.00007821907,7.821907E-5,-9.4559970782499
-0.94,-0.00007501426,7.501426E-5,-9.4978323291677
-0.92,-0.00007187216,7.187216E-5,-9.5406215726709
-0.9,-0.0000688106,6.88106E-5,-9.5841527551251
-0.88,-0.00006587803,6.587803E-5,-9.6277055559556
-0.86,-0.00006310244,6.310244E-5,-9.670751120385
-0.84,-0.0000604988,6.04988E-5,-9.7128870278349
-0.82,-0.00005802596,5.802596E-5,-9.7546200613478
-0.8,-0.00005565867,5.565867E-5,-9.7962726972293
-0.78,-0.00005335808,5.335808E-5,-9.8384851390133
-0.76,-0.00005111898,5.111898E-5,-9.8813547011457
-0.74,-0.00004891921,4.891921E-5,-9.9253403960901
-0.72,-0.00004675821,4.675821E-5,-9.9705207026748
-0.7,-0.00004461832,4.461832E-5,-10.017366020946
-0.68,-0.00004250733,4.250733E-5,-10.065834026317
-0.66,-0.0000404189,4.04189E-5,-10.116213060609
-0.64,-0.00003834555,3.834555E-5,-10.16887207339
-0.62,-0.00003629425,3.629425E-5,-10.223851231444
-0.6,-0.00003425851,3.425851E-5,-10.281575556966
-0.58,-0.00003224538,3.224538E-5,-10.342135780799
-0.56,-0.0000302504,3.02504E-5,-10.406001150434
-0.54,-0.00002827707,2.827707E-5,-10.473459329093
-0.52,-0.0000263219,2.63219E-5,-10.545109265663
-0.5,-0.00002439343,2.439343E-5,-10.621196724218
-0.48,-0.00002249023,2.249023E-5,-10.702429565278
-0.46,-0.00002062009,2.062009E-5,-10.789244714691
-0.44,-0.00001878039,1.878039E-5,-10.882697317627
-0.42,-0.00001698349,1.698349E-5,-10.983268862276
-0.4,-0.00001522666,1.522666E-5,-11.092462719113
-0.38,-0.00001352121,1.352121E-5,-11.211250994313
-0.36,-0.00001186838,1.186838E-5,-11.341632837174
-0.34,-0.00001028415,1.028415E-5,-11.484906682903
-0.32,-0.000008780981,8.780981E-6,-11.642922425351
-0.3,-0.000007356472,7.356472E-6,-11.819930087973
-0.28,-0.000006039989,6.039989E-6,-12.017108367211
-0.26,-0.000004846515,4.846515E-6,-12.237250668002
-0.24,-0.000003802277,3.802277E-6,-12.479910460161
-0.22,-0.000002915113,2.915113E-6,-12.745601973905
-0.2,-0.000002183823,2.183823E-6,-13.034433547322
-0.18,-0.000001582066,1.582066E-6,-13.356778970146
-0.16,-0.000001094446,1.094446E-6,-13.725262258798
-0.14,-0.000000708346,7.08346E-7,-14.160333162063
-0.12,-0.0000004128395,4.128395E-7,-14.700206939372
-0.1,-0.0000002140594,2.140594E-7,-15.357012290347
-0.08,-0.00000009943417,9.943417E-8,-16.123770019781
-0.06,-0.00000003949332,3.949332E-8,-17.047134293265
-0.04,-0.00000001143539,1.143539E-8,-18.286552904238
-0.02,-0.000000001734851,1.734851E-9,-20.172344306198
0,0.0000000004690453,4.690453E-10,-21.48032176366
0.02,0.0000000008882885,8.882885E-10,-20.841724538313
0.04,0.000000001076546,1.076546E-9,-20.649508068964
0.06,0.000000001290835,1.290835E-9,-20.467976541151
0.08,0.000000001505173,1.505173E-9,-20.314357995186
0.1,0.000000001805618,1.805618E-9,-20.13236292149
0.12,0.000000002054411,2.054411E-9,-20.003276648086
0.14,0.000000002283884,2.283884E-9,-19.897388334533
0.16,0.000000002589117,2.589117E-9,-19.771948946005
0.18,0.000000002829992,2.829992E-9,-19.68299195215
0.2,0.000000003146328,3.146328E-9,-19.577029778368
0.22,0.000000003470178,3.470178E-9,-19.479059947473
0.24,0.000000003802155,3.802155E-9,-19.387697825694
0.26,0.000000004039038,4.039038E-9,-19.32725929214
0.28,0.000000004377519,4.377519E-9,-19.246783711401
0.3,0.000000004693912,4.693912E-9,-19.17699948703
0.32,0.000000004985476,4.985476E-9,-19.116736951632
0.34,0.000000005269431,5.269431E-9,-19.061343449862
0.36,0.00000000560791,5.60791E-9,-18.999087735845
0.38,0.000000005885054,5.885054E-9,-18.950849920405
0.4,0.000000006321904,6.321904E-9,-18.879245408336
0.42,0.000000006355346,6.355346E-9,-18.873969488468
0.44,0.000000006662303,6.662303E-9,-18.826800616372
0.46,0.000000007080731,7.080731E-9,-18.765888685983
0.48,0.000000007445804,7.445804E-9,-18.7156151847
0.5,0.000000007545322,7.545322E-9,-18.702338068368
0.52,0.000000007873718,7.873718E-9,-18.659735459138
0.54,0.000000008314095,8.314095E-9,-18.605313569672
0.56,0.000000008851829,8.851829E-9,-18.542641732613
0.58,0.000000008867421,8.867421E-9,-18.540881838258
0.6,0.000000009084133,9.084133E-9,-18.516736571683
0.62,0.000000009447832,9.447832E-9,-18.477480539751
0.64,0.00000001001145,1.001145E-8,-18.419536398965
0.66,0.00000001015033,1.015033E-8,-18.405759619672
0.68,0.0000000103681,1.03681E-8,-18.384532052321
