|Current(A)|,dx/dlnI(V),H(I)
-5.335808e-05,-0.466531473735,-0.867780542986
-5.111898e-05,-0.454693282106,-0.848065028654
-4.891921e-05,-0.442670745549,-0.828356921065
-4.675821e-05,-0.426937007541,-0.808656741009
-4.461832e-05,-0.412643347852,-0.788967610097
-4.250733e-05,-0.396990539439,-0.76928924746
-4.04189e-05,-0.379802030911,-0.749623566555
-3.834555e-05,-0.363774213864,-0.729973015761
-3.629425e-05,-0.346474381799,-0.710337861628
-3.425851e-05,-0.330249770132,-0.690720924634
-3.224538e-05,-0.313158760598,-0.671122806876
-3.02504e-05,-0.29647998801,-0.651546622317
-2.827707e-05,-0.279134929596,-0.631994279911
-2.63219e-05,-0.262855408497,-0.612469754329
-2.439343e-05,-0.246205841616,-0.592974676479
-2.249023e-05,-0.230374538721,-0.573513743779
-2.062009e-05,-0.214012230496,-0.5540898557
-1.878039e-05,-0.198863406839,-0.534710014267
-1.698349e-05,-0.18316048704,-0.515377414671
-1.522666e-05,-0.168366785075,-0.496102033394
-1.352121e-05,-0.153395592217,-0.476890321405
-1.186838e-05,-0.1395928189,-0.457755545211
-1.028415e-05,-0.126569667618,-0.438706321327
-8.780981e-06,-0.112989458782,-0.419754925789
-7.356472e-06,-0.101431050506,-0.400929562074
-6.039989e-06,-0.0908503269392,-0.382238052102
-4.846515e-06,-0.0824199172927,-0.363698933121
-3.802277e-06,-0.0752752683673,-0.345309241921
-2.915113e-06,-0.069244507321,-0.327072390975
-2.183823e-06,-0.0620452427237,-0.30898909922
-1.582066e-06,-0.0542765455475,-0.291128207915
-1.094446e-06,-0.0459695186461,-0.273573490989
-7.08346e-07,-0.0370456963101,-0.256460654528
-4.128395e-07,-0.030450421834,-0.240043297895
-2.140594e-07,-0.0260838583457,-0.224401908061
-9.943417e-08,-0.021659924013,-0.209490170556
-3.949332e-08,-0.0161365980976,-0.195617685965
-1.143539e-08,-0.0106056268892,-0.183842561949
