|Current(A)|,dV/dlnI,H
-4.891921e-05,-0.442670745549,-0.651643078935
-4.675821e-05,-0.426937007541,-0.631343258991
-4.461832e-05,-0.412643347852,-0.611032389903
-4.250733e-05,-0.396990539439,-0.59071075254
-4.04189e-05,-0.379802030911,-0.570376433445
-3.834555e-05,-0.363774213864,-0.550026984239
-3.629425e-05,-0.346474381799,-0.529662138372
-3.425851e-05,-0.330249770132,-0.509279075366
-3.224538e-05,-0.313158760598,-0.488877193124
-3.02504e-05,-0.29647998801,-0.468453377683
-2.827707e-05,-0.279134929596,-0.448005720089
-2.63219e-05,-0.262855408497,-0.427530245671
-2.439343e-05,-0.246205841616,-0.407025323521
-2.249023e-05,-0.230374538721,-0.386486256221
-2.062009e-05,-0.214012230496,-0.3659101443
-1.878039e-05,-0.198863406839,-0.345289985733
-1.698349e-05,-0.18316048704,-0.324622585329
-1.522666e-05,-0.168366785075,-0.303897966606
-1.352121e-05,-0.153395592217,-0.283109678595
-1.186838e-05,-0.1395928189,-0.262244454789
-1.028415e-05,-0.126569667618,-0.241293678673
-8.780981e-06,-0.112989458782,-0.220245074211
-7.356472e-06,-0.101431050506,-0.199070437926
-6.039989e-06,-0.0908503269392,-0.177761947898
-4.846515e-06,-0.0824199172927,-0.156301066879
-3.802277e-06,-0.0752752683673,-0.134690758079
-2.915113e-06,-0.069244507321,-0.112927609025
-2.183823e-06,-0.0620452427237,-0.0910109007796
-1.582066e-06,-0.0542765455475,-0.0688717920853
