!Current(A),|Current(A)|,dV/dlnI(V),H(I)
-0.0002563069,0.0002563069,-1.71956358309,-2.07736621636
-0.0002533431,0.0002533431,-1.75390162143,-2.05744339962
-0.0002504706,0.0002504706,-1.65539826213,-2.03751907177
-0.0002474627,0.0002474627,-1.58015176199,-2.01759924675
-0.0002443503,0.0002443503,-1.53806689855,-1.99768323964
-0.0002411935,0.0002411935,-1.48942432671,-1.97776953077
-0.0002379764,0.0002379764,-1.46219347968,-1.95785864004
-0.0002347435,0.0002347435,-1.41477993539,-1.93794940882
-0.0002314484,0.0002314484,-1.39099540689,-1.91804321953
-0.0002281444,0.0002281444,-1.35930745067,-1.89813863431
-0.0002248122,0.0002248122,-1.33029688902,-1.87823627338
-0.0002214576,0.0002214576,-1.31337368793,-1.85833604173
-0.0002181108,0.0002181108,-1.27551183869,-1.83843709562
-0.0002147175,0.0002147175,-1.25428185056,-1.81854114915
-0.0002113209,0.0002113209,-1.22482874289,-1.7986469639
-0.0002078983,0.0002078983,-1.20610749024,-1.77875532315
-0.0002044793,0.0002044793,-1.17354060599,-1.75886536435
-0.000201024,0.000201024,-1.14484980878,-1.7389784593
-0.0001975427,0.0001975427,-1.12475149909,-1.7190943885
-0.0001940611,0.0001940611,-1.09387521307,-1.69921238925
-0.0001905452,0.0001905452,-1.07138318968,-1.67933372074
-0.0001870212,0.0001870212,-1.05252841223,-1.65945759941
-0.000183501,0.000183501,-1.0229901874,-1.63958369721
-0.0001799483,0.0001799483,-0.969675982467,-1.61971343601
-0.0001762748,0.0001762748,-1.01288773514,-1.59985030804
-0.0001728283,0.0001728283,-0.960311142965,-1.57998134084
-0.0001692661,0.0001692661,-0.935769983428,-1.56011954763
-0.0001656868,0.0001656868,-0.887410168305,-1.54026137897
-0.0001619944,0.0001619944,-0.911485700852,-1.52041093948
-0.0001584786,0.0001584786,-0.873096957199,-1.50055654958
-0.0001548896,0.0001548896,-0.84504281145,-1.48070856193
-0.0001512668,0.0001512668,-0.810188767731,-1.46086562085
-0.0001475784,0.0001475784,-0.819261103115,-1.4410294364
-0.0001440193,0.0001440193,-0.784064787365,-1.42119143789
