Voltage (Volts),Current (Amps),|Current| (Amps),ln(|Current|) (Amps)
-2,-0.009999778,0.009999778,-4.6051923862345
-1.98,-0.009999792,0.009999792,-4.6051909862044
-1.96,-0.009999799,0.009999799,-4.6051902861901
-1.94,-0.009999796,0.009999796,-4.6051905861962
-1.92,-0.009999787,0.009999787,-4.6051914862149
-1.9,-0.009999794,0.009999794,-4.6051907862003
-1.88,-0.009999786,0.009999786,-4.6051915862171
-1.86,-0.009999781,0.009999781,-4.6051920862279
-1.84,-0.009999787,0.009999787,-4.6051914862149
-1.82,-0.009999794,0.009999794,-4.6051907862003
-1.8,-0.009999794,0.009999794,-4.6051907862003
-1.78,-0.009999798,0.009999798,-4.6051903861921
-1.76,-0.009999793,0.009999793,-4.6051908862023
-1.74,-0.009999803,0.009999803,-4.6051898861821
-1.72,-0.009999805,0.009999805,-4.6051896861782
-1.7,-0.009999808,0.009999808,-4.6051893861724
-1.68,-0.009999796,0.009999796,-4.6051905861962
-1.66,-0.009999809,0.009999809,-4.6051892861705
-1.64,-0.009999806,0.009999806,-4.6051895861763
-1.62,-0.009999807,0.009999807,-4.6051894861743
-1.6,-0.009999807,0.009999807,-4.6051894861743
-1.58,-0.009999812,0.009999812,-4.6051889861648
-1.56,-0.009999803,0.009999803,-4.6051898861821
-1.54,-0.009999814,0.009999814,-4.6051887861611
-1.52,-0.009999822,0.009999822,-4.6051879861465
-1.5,-0.009999821,0.009999821,-4.6051880861483
-1.48,-0.009999819,0.009999819,-4.6051882861519
-1.46,-0.009999816,0.009999816,-4.6051885861574
-1.44,-0.009999817,0.009999817,-4.6051884861555
-1.42,-0.00999982,0.00999982,-4.6051881861501
-1.4,-0.009999819,0.009999819,-4.6051882861519
-1.38,-0.009999827,0.009999827,-4.6051874861377
-1.36,-0.00999982,0.00999982,-4.6051881861501
-1.34,-0.009999815,0.009999815,-4.6051886861592
-1.32,-0.009999824,0.009999824,-4.605187786143
-1.3,-0.009999817,0.009999817,-4.6051884861555
-1.28,-0.009999822,0.009999822,-4.6051879861465
-1.26,-0.009999827,0.009999827,-4.6051874861377
-1.24,-0.009999816,0.009999816,-4.6051885861574
-1.22,-0.009999833,0.009999833,-4.6051868861275
-1.2,-0.009999833,0.009999833,-4.6051868861275
-1.18,-0.009999831,0.009999831,-4.6051870861309
-1.16,-0.009999832,0.009999832,-4.6051869861292
-1.14,-0.009999831,0.009999831,-4.6051870861309
-1.12,-0.009999825,0.009999825,-4.6051876861412
-1.1,-0.009999826,0.009999826,-4.6051875861395
-1.08,-0.009999825,0.009999825,-4.6051876861412
-1.06,-0.00999984,0.00999984,-4.6051861861161
-1.04,-0.009999821,0.009999821,-4.6051880861483
-1.02,-0.00999983,0.00999983,-4.6051871861326
-1,-0.009999838,0.009999838,-4.6051863861193
-0.98,-0.009999833,0.009999833,-4.6051868861275
-0.96,-0.009999829,0.009999829,-4.6051872861343
-0.94,-0.009999821,0.009999821,-4.6051880861483
-0.92,-0.009999828,0.009999828,-4.605187386136
-0.9,-0.009999841,0.009999841,-4.6051860861145
-0.88,-0.009999828,0.009999828,-4.605187386136
-0.86,-0.009999834,0.009999834,-4.6051867861259
-0.84,-0.009999841,0.009999841,-4.6051860861145
-0.82,-0.009999835,0.009999835,-4.6051866861242
-0.8,-0.009999839,0.009999839,-4.6051862861177
-0.78,-0.00999984,0.00999984,-4.6051861861161
-0.76,-0.009999842,0.009999842,-4.6051859861129
-0.74,-0.009999835,0.009999835,-4.6051866861242
-0.72,-0.009999832,0.009999832,-4.6051869861292
-0.7,-0.009999841,0.009999841,-4.6051860861145
-0.68,-0.009999827,0.009999827,-4.6051874861377
-0.66,-0.009999835,0.009999835,-4.6051866861242
-0.64,-0.009999846,0.009999846,-4.6051855861067
-0.62,-0.009999845,0.009999845,-4.6051856861082
-0.6,-0.009999835,0.009999835,-4.6051866861242
-0.58,-0.009999838,0.009999838,-4.6051863861193
-0.56,-0.009999838,0.009999838,-4.6051863861193
-0.54,-0.009999833,0.009999833,-4.6051868861275
-0.52,-0.009999852,0.009999852,-4.6051849860976
-0.5,-0.009999847,0.009999847,-4.6051854861051
-0.48,-0.009999853,0.009999853,-4.6051848860961
-0.46,-0.009999842,0.009999842,-4.6051859861129
-0.44,-0.009999837,0.009999837,-4.6051864861209
-0.42,-0.009999842,0.009999842,-4.6051859861129
-0.4,-0.009999835,0.009999835,-4.6051866861242
-0.38,-0.009999845,0.009999845,-4.6051856861082
-0.36,-0.009999849,0.009999849,-4.6051852861021
-0.34,-0.009999851,0.009999851,-4.6051850860991
-0.32,-0.009999851,0.009999851,-4.6051850860991
-0.3,-0.009999851,0.009999851,-4.6051850860991
-0.28,-0.009999842,0.009999842,-4.6051859861129
-0.26,-0.009999859,0.009999859,-4.6051842860875
-0.24,-0.005931929,0.005931929,-5.1274058237599
-0.22,-0.002869279,0.002869279,-5.8536945002837
-0.2,-0.001363769,0.001363769,-6.5975030887417
-0.18,-0.0006415952,0.0006415952,-7.3515529827367
-0.16,-0.000300204,0.000300204,-8.1110483144033
-0.14,-0.0001398602,0.0001398602,-8.8748672056881
-0.12,-0.00006486193,6.486193E-5,-9.6432497011294
-0.1,-0.00002985539,2.985539E-5,-10.419145164912
-0.08,-0.00001354871,1.354871E-5,-11.209219218123
-0.06,-0.000005959196,5.959196E-6,-12.030574985316
-0.04,-0.000002421501,2.421501E-6,-12.931122962136
-0.02,-0.0000007756752,7.756752E-7,-14.069531961084
0,-0.000000006335671,6.335671E-9,-18.877070109288
0.02,0.0000003541162,3.541162E-7,-14.853640729087
0.04,0.0000005247048,5.247048E-7,-14.460430018211
0.06,0.0000006072667,6.072667E-7,-14.314297768413
0.08,0.0000006489338,6.489338E-7,-14.247935128527
0.1,0.0000006715219,6.715219E-7,-14.213719207963
0.12,0.0000006852868,6.852868E-7,-14.193428400177
0.14,0.0000006948254,6.948254E-7,-14.179605245965
0.16,0.0000007023702,7.023702E-7,-14.168805221494
0.18,0.0000007089726,7.089726E-7,-14.159448957141
0.2,0.0000007150514,7.150514E-7,-14.150911408724
0.22,0.0000007207495,7.207495E-7,-14.14297419415
0.24,0.0000007267192,7.267192E-7,-14.134725678866
0.26,0.0000007323366,7.323366E-7,-14.127025592612
0.28,0.0000007377582,7.377582E-7,-14.119649708309
0.3,0.0000007432358,7.432358E-7,-14.112252480532
0.32,0.0000007486211,7.486211E-7,-14.105032855926
0.34,0.0000007539791,7.539791E-7,-14.097901188156
0.36,0.000000759125,7.59125E-7,-14.091099382729
0.38,0.0000007643972,7.643972E-7,-14.084178287591
0.4,0.0000007695973,7.695973E-7,-14.077398445917
0.42,0.000000774812,7.74812E-7,-14.070645417666
0.44,0.0000007796883,7.796883E-7,-14.064371612515
0.46,0.000000784752,7.84752E-7,-14.057898092645
0.48,0.0000007897037,7.897037E-7,-14.05160802513
0.5,0.0000007949903,7.949903E-7,-14.044935923624
0.52,0.0000007997699,7.997699E-7,-14.03894177565
0.54,0.0000008046658,8.046658E-7,-14.032838801008
0.56,0.0000008095154,8.095154E-7,-14.026830039921
0.58,0.0000008149919,8.149919E-7,-14.020087662405
0.6,0.000000819141,8.19141E-7,-14.015009606739
0.62,0.0000008239454,8.239454E-7,-14.009161571368
0.64,0.0000008286788,8.286788E-7,-14.003433211656
0.66,0.0000008350645,8.350645E-7,-13.99575686957
0.68,0.0000008381796,8.381796E-7,-13.992033439618
0.7,0.000000842893,8.42893E-7,-13.98642581464
0.72,0.0000008474636,8.474636E-7,-13.981017948467
0.74,0.0000008564765,8.564765E-7,-13.970438956803
0.76,0.0000008567017,8.567017E-7,-13.97017605362
0.78,0.0000008613974,8.613974E-7,-13.964709882673
0.8,0.0000008659138,8.659138E-7,-13.959480471444
0.82,0.0000008829464,8.829464E-7,-13.940001340337
0.84,0.0000008749847,8.749847E-7,-13.949059436456
0.86,0.0000008795877,8.795877E-7,-13.943812561992
0.88,0.0000008840785,8.840785E-7,-13.938719977346
0.9,0.0000009073158,9.073158E-7,-13.912775266616
0.92,0.0000008929209,8.929209E-7,-13.928767837821
0.94,0.000000897395,8.97395E-7,-13.923769715071
0.96,0.0000009019136,9.019136E-7,-13.918747108611
0.98,0.0000009312378,9.312378E-7,-13.88675116801
1,0.0000009107131,9.107131E-7,-13.909037917937
1.02,0.0000009152649,9.152649E-7,-13.904052305374
1.04,0.0000009197135,9.197135E-7,-13.899203628446
1.06,0.0000009539004,9.539004E-7,-13.862706573464
1.08,0.0000009290854,9.290854E-7,-13.889065175555
1.1,0.0000009331404,9.331404E-7,-13.884710165105
1.12,0.000000938764,9.38764E-7,-13.878701720531
1.14,0.0000009748684,9.748684E-7,-13.840963349417
1.16,0.0000009491268,9.491268E-7,-13.867723432931
1.18,0.0000009571933,9.571933E-7,-13.859260480519
1.2,0.0000009624292,9.624292E-7,-13.853805331932
1.22,0.0000009946159,9.946159E-7,-13.820909204467
1.24,0.0000009741282,9.741282E-7,-13.841722919789
1.26,0.0000009782838,9.782838E-7,-13.837466024958
1.28,0.0000009855504,9.855504E-7,-13.830065570109
1.3,0.0000010121,1.0121E-6,-13.803483177752
1.32,0.0000009965074,9.965074E-7,-13.81900927133
1.34,0.000001001982,1.001982E-6,-13.813530519535
1.36,0.000001008061,1.008061E-6,-13.807481874273
1.38,0.000001028696,1.028696E-6,-13.78721857722
1.4,0.000001016524,1.016524E-6,-13.799121593729
1.42,0.000001021908,1.021908E-6,-13.793839089804
1.44,0.000001025931,1.025931E-6,-13.789910064939
1.46,0.000001041368,1.041368E-6,-13.774975324556
1.48,0.000001034553,1.034553E-6,-13.781541108594
1.5,0.000001037792,1.037792E-6,-13.778415178657
1.52,0.000001040889,1.040889E-6,-13.775435402259
1.54,0.000001049973,1.049973E-6,-13.766746108411
1.56,0.000001046711,1.046711E-6,-13.769857690921
1.58,0.000001049914,1.049914E-6,-13.766802301911
1.6,0.000001049996,1.049996E-6,-13.766724203326
1.62,0.000001049972,1.049972E-6,-13.766747060817
1.64,0.000001049996,1.049996E-6,-13.766724203326
1.66,0.000001049994,1.049994E-6,-13.766726108097
1.68,0.000001054058,1.054058E-6,-13.762863080896
1.7,0.000001058169,1.058169E-6,-13.758970501935
1.72,0.000001062192,1.062192E-6,-13.755175860525
1.74,0.000001066245,1.066245E-6,-13.751367427483
1.76,0.000001070338,1.070338E-6,-13.747536071522
1.78,0.000001074449,1.074449E-6,-13.743702585927
1.8,0.000001078523,1.078523E-6,-13.739918045429
1.82,0.000001082509,1.082509E-6,-13.736229063017
1.84,0.000001086521,1.086521E-6,-13.732529709319
1.86,0.000001090599,1.090599E-6,-13.728783471381
1.88,0.000001094593,1.094593E-6,-13.725127953287
1.9,0.000001098646,1.098646E-6,-13.721432045442
1.92,0.000001102682,1.102682E-6,-13.717765163884
1.94,0.000001106684,1.106684E-6,-13.714142401176
1.96,0.000001110658,1.110658E-6,-13.710557925479
1.98,0.000001114637,1.114637E-6,-13.706981766597
2,0.000001118622,1.118622E-6,-13.703412987311
