! Voltage (Volts),Current (Amps),|Current| (Amps),ln(|Current|) (Amps)
-2,-0.00114409,0.00114409,-6.7731457177903
-1.98,-0.001240634,0.001240634,-6.692132739707
-1.96,-0.00125482,0.00125482,-6.6807631429797
-1.94,-0.001252512,0.001252512,-6.6826041442128
-1.92,-0.001240785,0.001240785,-6.6920110351499
-1.9,-0.001227976,0.001227976,-6.7023879934221
-1.88,-0.001212955,0.001212955,-6.7146957478123
-1.86,-0.001196884,0.001196884,-6.7280337660413
-1.84,-0.001179,0.001179,-6.7430886574269
-1.82,-0.001163953,0.001163953,-6.755933308495
-1.8,-0.001146395,0.001146395,-6.7711330429392
-1.78,-0.001134576,0.001134576,-6.7814962661247
-1.76,-0.001097085,0.001097085,-6.8150986166434
-1.74,-0.001097488,0.001097488,-6.8147313470155
-1.72,-0.001080915,0.001080915,-6.829947374314
-1.7,-0.001063233,0.001063233,-6.8464410126722
-1.68,-0.001044916,0.001044916,-6.8638187795714
-1.66,-0.001028217,0.001028217,-6.8799290447313
-1.64,-0.00101034,0.00101034,-6.897468371114
-1.62,-0.0009924135,0.0009924135,-6.9153707028534
-1.6,-0.000975286,0.000975286,-6.9327797966469
-1.58,-0.0009581073,0.0009581073,-6.95055078209
-1.56,-0.0009411679,0.0009411679,-6.96838900709
-1.54,-0.0009239658,0.0009239658,-6.9868354999946
-1.52,-0.0009070795,0.0009070795,-7.0052804600916
-1.5,-0.0008904833,0.0008904833,-7.0237462089197
-1.48,-0.0008740061,0.0008740061,-7.0424232029281
-1.46,-0.0008575202,0.0008575202,-7.0614658223503
-1.44,-0.0008412173,0.0008412173,-7.0806605484889
-1.42,-0.0008250438,0.0008250438,-7.1000740821298
-1.4,-0.0008090597,0.0008090597,-7.1196378488201
-1.38,-0.0007930241,0.0007930241,-7.1396569458707
-1.36,-0.0007771915,0.0007771915,-7.1598237772166
-1.34,-0.00076153,0.00076153,-7.180180990476
-1.32,-0.0007457679,0.0007457679,-7.2010961321756
-1.3,-0.0007303692,0.0007303692,-7.2219603982473
-1.28,-0.0007149713,0.0007149713,-7.243268155936
-1.26,-0.000699883,0.000699883,-7.2645973797479
-1.24,-0.0006847113,0.0006847113,-7.2865132683952
-1.22,-0.0006696097,0.0006696097,-7.3088155526335
-1.2,-0.0006548766,0.0006548766,-7.3310637370245
-1.18,-0.0006401571,0.0006401571,-7.3537969429831
-1.16,-0.000625596,0.000625596,-7.3768057626155
-1.14,-0.0006110847,0.0006110847,-7.4002749831957
-1.12,-0.0005966162,0.0005966162,-7.4242365323803
-1.1,-0.0005824207,0.0005824207,-7.448317519131
-1.08,-0.0005681133,0.0005681133,-7.473189687304
-1.06,-0.0005538921,0.0005538921,-7.4985406555292
-1.04,-0.0005398265,0.0005398265,-7.524262766329
-1.02,-0.0005258863,0.0005258863,-7.5504255282883
-1,-0.0005120108,0.0005120108,-7.5771648393972
-0.98,-0.0004982071,0.0004982071,-7.604494703933
-0.96,-0.0004844968,0.0004844968,-7.6323997314024
-0.94,-0.0004708641,0.0004708641,-7.6609410406139
-0.92,-0.0004573388,0.0004573388,-7.6900860850652
-0.9,-0.0004437859,0.0004437859,-7.7201683190385
-0.88,-0.0004303162,0.0004303162,-7.7509902706759
-0.86,-0.000417006,0.000417006,-7.7824099477798
-0.84,-0.0004036535,0.0004036535,-7.8149537212826
-0.82,-0.0003903322,0.0003903322,-7.8485123865402
-0.8,-0.0003770227,0.0003770227,-7.8832051601274
-0.78,-0.0003637769,0.0003637769,-7.9189697903228
-0.76,-0.0003506039,0.0003506039,-7.9558534617512
-0.74,-0.0003374187,0.0003374187,-7.994185965559
-0.72,-0.0003242877,0.0003242877,-8.0338794732149
-0.7,-0.0003111955,0.0003111955,-8.0750892259188
-0.68,-0.0002982019,0.0002982019,-8.1177397840912
-0.66,-0.0002852608,0.0002852608,-8.1621067084138
-0.64,-0.0002723181,0.0002723181,-8.2085396896894
-0.62,-0.0002593868,0.0002593868,-8.2571901740382
-0.6,-0.0002465078,0.0002465078,-8.3081169219801
-0.58,-0.0002337374,0.0002337374,-8.3613122949917
-0.56,-0.0002209626,0.0002209626,-8.4175171015369
-0.54,-0.0002082568,0.0002082568,-8.4767386243892
-0.52,-0.0001956058,0.0001956058,-8.5394091484514
-0.5,-0.0001831307,0.0001831307,-8.6053104523975
-0.48,-0.000170751,0.000170751,-8.6753042030152
-0.46,-0.0001585651,0.0001585651,-8.7493453234195
-0.44,-0.0001466331,0.0001466331,-8.8275770095497
-0.42,-0.0001349782,0.0001349782,-8.9103972740469
-0.4,-0.0001236919,0.0001236919,-8.9977167617122
