|Current(A)|,dx/dlnI(V),H(I)
-2.894949e-05,-1.06729939784,-2.09183832311
-2.841206e-05,-1.65564365117,-2.07196267577
-2.807091e-05,-1.62167706488,-2.05204283887
-2.772684e-05,-1.85748660092,-2.032124681
-2.74299e-05,-3.12340262455,-2.01219613321
-2.725482e-05,-1.27448793763,-1.99223862582
-2.683046e-05,-1.3563667467,-1.97234276295
-2.643774e-05,-2.86521838265,-1.95244061371
-2.625384e-05,-1.66427862253,-1.93248693532
-2.594023e-05,-1.68497695032,-1.91256668249
-2.563415e-05,-2.1571359191,-1.89264545005
-2.539758e-05,-1.61137742409,-1.87270697678
-2.50843e-05,-1.78312591987,-1.85278934204
-2.480452e-05,-1.91856949383,-1.83286377397
-2.454729e-05,-2.30413024206,-1.81293295131
-2.433514e-05,-1.42809621109,-1.79299055288
-2.399671e-05,-1.86707147706,-1.77308348885
-2.374103e-05,-2.18457061703,-1.75315457425
-2.352467e-05,-1.47352849162,-1.7332153283
-2.320753e-05,-2.09059321575,-1.71330539885
-2.298657e-05,-1.55459551361,-1.69336888395
-2.269274e-05,-2.25156980778,-1.67345425762
-2.249206e-05,-1.35086233106,-1.65351320383
-2.216151e-05,-1.8646604639,-1.63361145331
-2.192508e-05,-1.99428715246,-1.61368263062
-2.17063e-05,-1.28684041506,-1.59374918148
-2.137155e-05,-2.06902956277,-1.57385231899
-2.116596e-05,-1.90502072904,-1.55391646574
-2.094491e-05,-1.47217323925,-1.53398613507
-2.066229e-05,-1.65696576439,-1.51407628853
-2.041439e-05,-1.3513884718,-1.49415638766
-2.011449e-05,-2.0396591045,-1.47425459889
-1.991822e-05,-1.02336492204,-1.45431966933
-1.953273e-05,-1.43124068365,-1.43444936062
-1.926168e-05,-1.88712406789,-1.41454209242
-1.905862e-05,-1.17890622319,-1.39461242246
-1.873802e-05,-2.04933311363,-1.37472500268
-1.855604e-05,-1.32029987787,-1.35478976595
-1.827707e-05,-1.22955849829,-1.33489028972
-1.798218e-05,-1.4261956287,-1.31499823214
-1.773177e-05,-0.960824374831,-1.29509129196
-1.736649e-05,-1.324677984,-1.27522942493
-1.710626e-05,-1.73864016864,-1.25532961646
-1.691061e-05,-1.13992213713,-1.23540595285
-1.66165e-05,-1.09666646473,-1.21552238319
-1.631621e-05,-1.39147149216,-1.19564340587
-1.608337e-05,-1.49225395612,-1.175738788
-1.586925e-05,-0.874436855478,-1.15582772831
-1.551041e-05,-1.14457764398,-1.13597950773
-1.524174e-05,-1.3486613245,-1.11609546449
-1.501738e-05,-1.07202964798,-1.09619387431
-1.473981e-05,-1.06394659295,-1.07631767827
-1.446532e-05,-0.912320155398,-1.0564424228
-1.415166e-05,-1.1262392216,-1.03658789971
-1.390257e-05,-1.09111950396,-1.01670574458
-1.365006e-05,-0.73606348752,-0.996827382515
-1.328416e-05,-1.03555301393,-0.977007695111
-1.303006e-05,-1.11334793783,-0.957135859982
-1.279808e-05,-0.758655684747,-0.937255069362
-1.24651e-05,-1.16876007507,-0.917430012384
-1.225361e-05,-0.722452890094,-0.897543569924
-1.191904e-05,-0.916433895581,-0.877727279505
-1.166174e-05,-0.751016766161,-0.857872103391
-1.135528e-05,-0.751569385093,-0.838048825835
-1.105709e-05,-0.687801895282,-0.818225418337
-1.07402e-05,-0.781832319492,-0.798418383083
-1.046894e-05,-0.770842149163,-0.778588140095
-1.020081e-05,-0.593386727131,-0.758760317392
-9.862723e-06,-0.675702511018,-0.738983985217
-9.575076e-06,-0.662514932767,-0.719180405262
-9.290343e-06,-0.632524084977,-0.699380735114
-9.001184e-06,-0.640818698362,-0.679590563516
-8.724595e-06,-0.621246159723,-0.659797675947
-8.448194e-06,-0.638150939275,-0.640011313514
-8.187529e-06,-0.538304972473,-0.620219291768
-7.888914e-06,-0.513623064359,-0.600465846277
-7.587631e-06,-0.537698348394,-0.580724248844
-7.310589e-06,-0.45640746181,-0.560971081512
-6.997153e-06,-0.521150206896,-0.54126187763
-6.733713e-06,-0.422508036384,-0.521516548004
-6.42239e-06,-0.422489755342,-0.5018306758
-6.125448e-06,-0.411511782535,-0.482144817188
-5.834862e-06,-0.394632280396,-0.462467338981
-5.546519e-06,-0.32344691616,-0.442803655914
-5.213944e-06,-0.301282081833,-0.423213990691
-4.879065e-06,-0.291119073899,-0.403654513132
-4.555126e-06,-0.262105893404,-0.384110414274
-4.220477e-06,-0.222218671449,-0.364616780294
-3.85722e-06,-0.190436626148,-0.345214036669
-3.472674e-06,-0.166688972672,-0.325910969401
-3.080035e-06,-0.136814484942,-0.306707191947
-2.661148e-06,-0.113814381888,-0.287677275767
-2.232301e-06,-0.0920907921064,-0.268843398325
-1.796528e-06,-0.0747093676916,-0.250284601241
-1.374585e-06,-0.0582580402358,-0.232061105611
-9.751652e-07,-0.0417687892251,-0.214339272154
-6.041246e-07,-0.0283866031374,-0.197516800654
-2.986352e-07,-0.0175882689184,-0.182192299075
-9.578453e-08,-0.0126354930006,-0.169738324142
-1.967322e-08,-0.00247259655246,-0.160242189575
|Current(A)|,dx/dlnI(V),H(I)
-3.85722e-06,-0.190436626148,-0.345214036669
-3.472674e-06,-0.166688972672,-0.325910969401
-3.080035e-06,-0.136814484942,-0.306707191947
-2.661148e-06,-0.113814381888,-0.287677275767
-2.232301e-06,-0.0920907921064,-0.268843398325
-1.796528e-06,-0.0747093676916,-0.250284601241
-1.374585e-06,-0.0582580402358,-0.232061105611
-9.751652e-07,-0.0417687892251,-0.214339272154
-6.041246e-07,-0.0283866031374,-0.197516800654
-2.986352e-07,-0.0175882689184,-0.182192299075
-9.578453e-08,-0.0126354930006,-0.169738324142
-1.967322e-08,-0.00247259655246,-0.160242189575
|Current(A)|,dx/dlnI(V),H(I)
-3.85722e-06,-0.190436626148,-0.345214036669
-3.472674e-06,-0.166688972672,-0.325910969401
-3.080035e-06,-0.136814484942,-0.306707191947
-2.661148e-06,-0.113814381888,-0.287677275767
-2.232301e-06,-0.0920907921064,-0.268843398325
-1.796528e-06,-0.0747093676916,-0.250284601241
-1.374585e-06,-0.0582580402358,-0.232061105611
-9.751652e-07,-0.0417687892251,-0.214339272154
-6.041246e-07,-0.0283866031374,-0.197516800654
-2.986352e-07,-0.0175882689184,-0.182192299075
-9.578453e-08,-0.0126354930006,-0.169738324142
-1.967322e-08,-0.00247259655246,-0.160242189575
|Current(A)|,dx/dlnI(V),H(I)
-3.85722e-06,-0.190436626148,-0.345214036669
-3.472674e-06,-0.166688972672,-0.325910969401
-3.080035e-06,-0.136814484942,-0.306707191947
-2.661148e-06,-0.113814381888,-0.287677275767
-2.232301e-06,-0.0920907921064,-0.268843398325
-1.796528e-06,-0.0747093676916,-0.250284601241
-1.374585e-06,-0.0582580402358,-0.232061105611
-9.751652e-07,-0.0417687892251,-0.214339272154
-6.041246e-07,-0.0283866031374,-0.197516800654
-2.986352e-07,-0.0175882689184,-0.182192299075
-9.578453e-08,-0.0126354930006,-0.169738324142
-1.967322e-08,-0.00247259655246,-0.160242189575
|Current(A)|,dx/dlnI(V),H(I)
-2.894949e-05,-1.06729939784,-2.09183832311
-2.841206e-05,-1.65564365117,-2.07196267577
-2.807091e-05,-1.62167706488,-2.05204283887
-2.772684e-05,-1.85748660092,-2.032124681
-2.74299e-05,-3.12340262455,-2.01219613321
-2.725482e-05,-1.27448793763,-1.99223862582
-2.683046e-05,-1.3563667467,-1.97234276295
-2.643774e-05,-2.86521838265,-1.95244061371
-2.625384e-05,-1.66427862253,-1.93248693532
-2.594023e-05,-1.68497695032,-1.91256668249
-2.563415e-05,-2.1571359191,-1.89264545005
-2.539758e-05,-1.61137742409,-1.87270697678
-2.50843e-05,-1.78312591987,-1.85278934204
-2.480452e-05,-1.91856949383,-1.83286377397
-2.454729e-05,-2.30413024206,-1.81293295131
-2.433514e-05,-1.42809621109,-1.79299055288
-2.399671e-05,-1.86707147706,-1.77308348885
-2.374103e-05,-2.18457061703,-1.75315457425
-2.352467e-05,-1.47352849162,-1.7332153283
-2.320753e-05,-2.09059321575,-1.71330539885
-2.298657e-05,-1.55459551361,-1.69336888395
-2.269274e-05,-2.25156980778,-1.67345425762
-2.249206e-05,-1.35086233106,-1.65351320383
-2.216151e-05,-1.8646604639,-1.63361145331
-2.192508e-05,-1.99428715246,-1.61368263062
-2.17063e-05,-1.28684041506,-1.59374918148
-2.137155e-05,-2.06902956277,-1.57385231899
-2.116596e-05,-1.90502072904,-1.55391646574
-2.094491e-05,-1.47217323925,-1.53398613507
-2.066229e-05,-1.65696576439,-1.51407628853
-2.041439e-05,-1.3513884718,-1.49415638766
-2.011449e-05,-2.0396591045,-1.47425459889
-1.991822e-05,-1.02336492204,-1.45431966933
-1.953273e-05,-1.43124068365,-1.43444936062
-1.926168e-05,-1.88712406789,-1.41454209242
-1.905862e-05,-1.17890622319,-1.39461242246
-1.873802e-05,-2.04933311363,-1.37472500268
